"","gene","distance","Z","FC","p.value","p.adj"
"1633","Maneal",3.86900608616126e-18,-1.23028706428782,1.70606832384932e-19,0.999999999670437,0.999999999998216
"2495","Defb10",3.86028297697276e-18,-1.23061660035445,1.69838395059088e-19,0.99999999967118,0.999999999998216
"1681","Has3",3.85923322781522e-18,-1.23065630659488,1.69746037337238e-19,0.99999999967127,0.999999999998216
"846","Slc22a2",3.85406582961834e-18,-1.2308519162255,1.69291771901709e-19,0.99999999967171,0.999999999998216
"664","Gm7120",3.85243972264215e-18,-1.23091352529803,1.69148946911665e-19,0.999999999671848,0.999999999998216
"1308","Gm28516",3.8420421585914e-18,-1.23130806982744,1.68237128033518e-19,0.999999999672734,0.999999999998216
"561","Ttll11",3.83489062403281e-18,-1.23158005252311,1.67611401496874e-19,0.999999999673343,0.999999999998216
"301","Pm20d2",3.8236064882618e-18,-1.23201022247584,1.66626462235041e-19,0.999999999674304,0.999999999998216
"210","Gm44226",3.82026831000064e-18,-1.23213771930066,1.66335644636819e-19,0.999999999674589,0.999999999998216
"296","Stkld1",3.81447754521826e-18,-1.23235914984655,1.65831763496886e-19,0.999999999675082,0.999999999998216
"780","Pde6g",3.81430639536208e-18,-1.23236569941339,1.65816882588344e-19,0.999999999675096,0.999999999998216
"665","2810455O05Rik",3.79398200606188e-18,-1.23314554125207,1.64054492403482e-19,0.999999999676828,0.999999999998216
"642","Zfp457",3.78042411207892e-18,-1.23366804801737,1.62884081350541e-19,0.999999999677983,0.999999999998216
"416","H2-Eb2",3.77668080892842e-18,-1.23381263642744,1.62561671690624e-19,0.999999999678301,0.999999999998216
"700","Myh15",3.77410795551092e-18,-1.23391209713628,1.62340257751354e-19,0.999999999678521,0.999999999998216
"326","Tunar",3.76943271093467e-18,-1.2340930027814,1.61938303001709e-19,0.999999999678919,0.999999999998216
"2890","Adcy8",3.7670813972712e-18,-1.23418406901157,1.61736336809355e-19,0.999999999679119,0.999999999998216
"2308","Pak6",3.75256365549282e-18,-1.23474758456877,1.60492125906895e-19,0.999999999680356,0.999999999998216
"110","Klhl41",3.75061880613772e-18,-1.23482323837552,1.60325811807368e-19,0.999999999680521,0.999999999998216
"350","Gm13010",3.73604422178827e-18,-1.23539141757587,1.59082207957095e-19,0.999999999681763,0.999999999998216
"1303","Gm8113",3.72647596768048e-18,-1.23576561832984,1.58268411465052e-19,0.999999999682578,0.999999999998216
"453","Sh2d4a",3.70023826857123e-18,-1.23679661858809,1.56047557230234e-19,0.999999999684813,0.999999999998216
"1115","Cyp2j12",3.69433353423491e-18,-1.23702963633358,1.55549922151021e-19,0.999999999685316,0.999999999998216
"2257","Raet1e",3.69370273518154e-18,-1.23705455117956,1.55496807094792e-19,0.99999999968537,0.999999999998216
"2081","Pgpep1l",3.69025274621151e-18,-1.23719089061678,1.5520646876776e-19,0.999999999685663,0.999999999998216
"849","Th",3.6815482480747e-18,-1.23753544131481,1.5447513616752e-19,0.999999999686405,0.999999999998216
"1830","Mmp3",3.67001364221678e-18,-1.23799325583232,1.53508684876204e-19,0.999999999687387,0.999999999998216
"72","Gm11998",3.65991629392764e-18,-1.23839519091702,1.52665146677474e-19,0.999999999688247,0.999999999998216
"2301","9030407P20Rik",3.65243887863029e-18,-1.23869354219152,1.52041976913167e-19,0.999999999688884,0.999999999998216
"2244","Il20rb",3.6473493362693e-18,-1.23889696123037,1.51618542074247e-19,0.999999999689318,0.999999999998216
"55","Aqp5",3.64662289152873e-18,-1.23892601862588,1.51558152178059e-19,0.99999999968938,0.999999999998216
"1598","Gm26691",3.64116398054051e-18,-1.23914455486788,1.5110473364233e-19,0.999999999689845,0.999999999998216
"702","Cldn19",3.6312423086542e-18,-1.23954257695625,1.50282376273748e-19,0.99999999969069,0.999999999998216
"625","Tmem26",3.63121796946895e-18,-1.23954355467539,1.50280361680379e-19,0.999999999690692,0.999999999998216
"2598","Cd209d",3.62708449007837e-18,-1.23970969273329,1.49938422841938e-19,0.999999999691044,0.999999999998216
"888","Grm7",3.61682806414649e-18,-1.24012273968699,1.49091650155538e-19,0.999999999691918,0.999999999998216
"442","Gm10451",3.61300902255078e-18,-1.24027683533368,1.48776961929911e-19,0.999999999692243,0.999999999998216
"349","Gm30382",3.60735740548833e-18,-1.24050516905319,1.48311879899632e-19,0.999999999692724,0.999999999998216
"568","RP23-366O14.5",3.60308694860224e-18,-1.24067793592412,1.47960939016168e-19,0.999999999693088,0.999999999998216
"800","E130218I03Rik",3.60280106038717e-18,-1.24068950911201,1.47937459921052e-19,0.999999999693113,0.999999999998216
