"","gene","distance","Z","FC","p.value","p.adj"
"378","B330016D10Rik",1.50030100675493e-13,-0.470423801597131,4.86992899328379e-07,0.999443197289529,0.999999999237769
"1583","Haus8",1.49930916731215e-13,-0.470534143282466,4.86349216356203e-07,0.999443565388196,0.999999999237769
"2058","Ston2",1.49789368640916e-13,-0.470691733519255,4.85431336203017e-07,0.999444090711763,0.999999999237769
"582","Zfp668",1.49672928843049e-13,-0.470821474597222,4.84676922752959e-07,0.999444522851609,0.999999999237769
"1887","Fen1",1.49597630029023e-13,-0.470905425443426,4.84189374102939e-07,0.999444802306043,0.999999999237769
"711","Lrrcc1",1.49488581415904e-13,-0.471027074317302,4.83483735444366e-07,0.999445207015187,0.999999999237769
"2618","2810408M09Rik",1.49232062367501e-13,-0.471313561922072,4.81825864637086e-07,0.999446159027336,0.999999999237769
"2266","Ing5",1.49224971582459e-13,-0.471321487666451,4.81780077660604e-07,0.999446185343173,0.999999999237769
"2451","Eef2k",1.49205677792651e-13,-0.471343055141128,4.81655503837072e-07,0.99944625694769,0.999999999237769
"830","Morc4",1.48788110401134e-13,-0.471810473015828,4.78963351597797e-07,0.999447806654164,0.999999999237769
"1709","Zfp719",1.4866430928559e-13,-0.471949290368071,4.78166627612526e-07,0.999448266113869,0.999999999237769
"1809","Pramef8",1.48562436901646e-13,-0.472063600525436,4.77511523713761e-07,0.999448644190071,0.999999999237769
